Letters,Morse,Phonetic,Howtopronounce
A,·-,Alpha,ALFAH
B,-···,Bravo,BRAHVOE
C,-·-·,Charlie,CHARLEE
D,-··,Delta,DELLTAH
E,·,Echo,ECKOH
F,··-·,Foxtrot,FOKSTROT
G,--·,Golf,GOLF
H,····,Hotel,HOTELL
I,··,India,INDEEAH
J,·---,Juliet,JEWLEEETT
K,-·-,Kilo,KEYLOH
L,·-··,Lima,LEEMAH
M,--,Mike,MIKE
N,-·,November,NOVEMBER
O,---,Oscar,OSSCAH
P,·--·,Papa,PAHPAH
Q,--·-,Quebec,KEHBECK
R,·-·,Romeo,ROWMEOH
S,···,Sierra,SEEAIRRAH
T,-,Tango,TANGGO
U,··-,Uniform,YOUNEEFORM
V,···-,Victor,VIKTAH
W,·--,Whiskey,WISSKEY
X,-··-,X-ray,ECKSRAY
Y,-·--,Yankee,YANGKEY
Z,--··,Zulu,ZOOLOO
0,-----,Zero,ZERO
1,·----,One,WUN
2,··---,Two,TOO
3,···--,Three,TREE
4,····-,Four,FOWER
5,·····,Five,FIFE
6,-····,Six,SIX
7,--···,Seven,SEVEN
8,---··,Eight,AIT
9,----·,Nine,NINER
Period,·-·-·-,,
Comma,--··--,,
